序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
76,交換〈する〉,こうかん,交[こう] 換[かん] <する>,交换,exchange,名・动,仕事の相手と、メールアドレスを交換した。,我和工作伙伴交换了邮箱地址。,,,[sound:JLPT_TangoN3_Word_0076.mp3],[sound:JLPT_TangoN3_Sentence_0076.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
77,交流〈する〉,こうりゅう,交[こう] 流[りゅう] <する>,交流,"exchange, networking",名・动,いろいろな国の人たちと交流したい。,我想和世界各国的人们交流。,,,[sound:JLPT_TangoN3_Word_0077.mp3],[sound:JLPT_TangoN3_Sentence_0077.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
78,断る,ことわる,断[ことわ]る,拒绝,"to refuse, to reject",动,兄の友だちにデートに誘われたが、断った。,哥哥的朋友想跟我约会，我拒绝了。,,,[sound:JLPT_TangoN3_Word_0078.mp3],[sound:JLPT_TangoN3_Sentence_0078.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
79,預ける,あずける,預[あず]ける,寄存；托付,"to deposit, to entrust to ~",动,旅行の間、友だちにペットを預けた。,旅行的那段时间，我托朋友照看我的宠物。,,,[sound:JLPT_TangoN3_Word_0079.mp3],[sound:JLPT_TangoN3_Sentence_0079.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
80,預かる,あずかる,預[あず]かる,（代人）保管,"to be deposited, to be entrusted to ~",动,友だちの旅行の間、彼女のペットを預かった。,朋友去旅行时，我帮她照看她的宠物。,,,[sound:JLPT_TangoN3_Word_0080.mp3],[sound:JLPT_TangoN3_Sentence_0080.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
81,かわいがる,かわいがる,かわいがる,喜爱,"to show affection, to favor",动,彼女は、みんなからかわいがられている。,她得到大家的喜爱。,,,[sound:JLPT_TangoN3_Word_0081.mp3],[sound:JLPT_TangoN3_Sentence_0081.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
82,甘やかす,あまやかす,甘[あま]やかす,娇惯，纵容,"to spoil, to pamper",动,両親は弟を甘やかしている。,我爸妈溺爱我弟弟。,,,[sound:JLPT_TangoN3_Word_0082.mp3],[sound:JLPT_TangoN3_Sentence_0082.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
83,ついて来る,ついてくる,付[つ]いて 来[く]る,跟来,to come with; to come along,动,散歩にいつも妹がついて来る。,我去散步时，妹妹总是跟着。,⇔ついて行く,,[sound:JLPT_TangoN3_Word_0083.mp3],[sound:JLPT_TangoN3_Sentence_0083.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
84,抱く,だく,抱[だ]く,抱,"to hug, to embrace, to hold",动,かわいい赤ちゃんを抱いた。,抱着一个可爱的小宝宝。,,,[sound:JLPT_TangoN3_Word_0084.mp3],[sound:JLPT_TangoN3_Sentence_0084.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
85,話しかける,はなしかける,話[はな]し 掛[か]ける,跟人说话,"to talk to, to initiate a conversation",动,兄は、赤ちゃんに話しかけた。,哥哥跟小宝宝说话。,,,[sound:JLPT_TangoN3_Word_0085.mp3],[sound:JLPT_TangoN3_Sentence_0085.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
86,無視〈する〉,むし,無[む] 視[し] <する>,无视,ignoring,名・动,知り合いに話しかけたのに、無視された。,我跟一个熟人说话，却被他无视了。,,,[sound:JLPT_TangoN3_Word_0086.mp3],[sound:JLPT_TangoN3_Sentence_0086.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
87,振り向く,ふりむく,振[ふ]り 向[む]く,回头,to turn around,动,後ろから名前を呼ばれて、振り向いた。,我听到有人从背后叫我，就回过头来。,,,[sound:JLPT_TangoN3_Word_0087.mp3],[sound:JLPT_TangoN3_Sentence_0087.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
88,いただく,いただく,いただく,领受,to receive,动,部長に日本のお酒をいただいた。,部长送了我一瓶日本的酒。,,“～ていただく”表示地位比说话人高的人为说话人做某事。,[sound:JLPT_TangoN3_Word_0088.mp3],[sound:JLPT_TangoN3_Sentence_0088.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
89,くださる,くださる,くださる,给（我）,to give,动,社長の奥様が、お菓子をくださった。,总经理夫人给了我一块点心。,,“～てくださる”表示地位比说话人高的人为说话人做了某事。,[sound:JLPT_TangoN3_Word_0089.mp3],[sound:JLPT_TangoN3_Sentence_0089.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
90,差し上げる,さしあげる,差[さ]し 上[あ]げる,呈送,to give,动,先生に国のお土産を差し上げた。,我把国内特产送给了老师。,,“～て差し上げる”表示说话人为地位比自己高的人做某事。,[sound:JLPT_TangoN3_Word_0090.mp3],[sound:JLPT_TangoN3_Sentence_0090.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
91,やる,やる,やる,给,to give,动,妹に買ったばかりのバッグをやった。,我把刚买的包给了妹妹。,,“～てやる”表示说话人为地位比自己低的人做某事，或者用于动植物。但现在也经常用“～てあげる”,[sound:JLPT_TangoN3_Word_0091.mp3],[sound:JLPT_TangoN3_Sentence_0091.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
92,与える,あたえる,与[あた]える,给，给予,"to give, to grant, to bestow",动,彼女は、私たちに元気を与えてくれる人だ。,是她让我们振作起来的。,,,[sound:JLPT_TangoN3_Word_0092.mp3],[sound:JLPT_TangoN3_Sentence_0092.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
93,味方〈する〉,みかた,味[み] 方[かた] <する>,自己这一方,"ally, supporter, friend",名・动,私はいつも、あなたの味方です。,我会一直站在你这一边。,,,[sound:JLPT_TangoN3_Word_0093.mp3],[sound:JLPT_TangoN3_Sentence_0093.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
94,悪口,わるくち,悪[わる] 口[くち],坏话,"bad mouthing, foul language",名,人の悪口を言うのは、やめよう。,不要说别人的坏话。,,,[sound:JLPT_TangoN3_Word_0094.mp3],[sound:JLPT_TangoN3_Sentence_0094.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
95,我々,われわれ,我[われ] 々[われ],我们,"we, us",名,これが我々の意見です。,这就是我们的意见。,"＋私たち we, us / 我们",“我々”是一个非常正式的说法，常用于演讲当中。,[sound:JLPT_TangoN3_Word_0095.mp3],[sound:JLPT_TangoN3_Sentence_0095.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
96,まね〈する〉,まね（する）,まね <する>,模仿,"imitation, copy, mimic",名・动,人のまねではなく、自分の考えを持とう。,不要模仿别人，要有自己的想法。,,,[sound:JLPT_TangoN3_Word_0096.mp3],[sound:JLPT_TangoN3_Sentence_0096.mp3],1,4,人と人との関係,コミュニケーション,万词对策N3::Chapter 1 人と人との関係::Section 4 コミュニケーション
97,名字,みょうじ,名[みょう] 字[じ],姓,"surname, family name",名,彼の名字は、とても珍しい。,他的姓非常少见。,,,[sound:JLPT_TangoN3_Word_0097.mp3],[sound:JLPT_TangoN3_Sentence_0097.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
98,性別,せいべつ,性[せい] 別[べつ],性别,gender,名,名前を書いて、性別に○をしてください。,请填写名字，在性别处画圈。,＋男性 male / 男性・女性 female / 女性,,[sound:JLPT_TangoN3_Word_0098.mp3],[sound:JLPT_TangoN3_Sentence_0098.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
99,年齢,ねんれい,年[ねん] 齢[れい],年龄,age,名,女性に年齢を聞いてはいけない。,女性的年龄问不得。,,,[sound:JLPT_TangoN3_Word_0099.mp3],[sound:JLPT_TangoN3_Sentence_0099.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
100,高齢,こうれい,高[こう] 齢[れい],年纪大,"old age, advanced age",名,日本には、高齢で元気な人が多い。,日本有很多年纪大还很健康的人。,＋高齢者 elderly / 年纪大的人・高齢化 population aging / 老龄化・ [お]年寄り elderly person / 老年人,,[sound:JLPT_TangoN3_Word_0100.mp3],[sound:JLPT_TangoN3_Sentence_0100.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
101,老人,ろうじん,老[ろう] 人[じん],老人,"the aged, elderly people",名,ボーリングは、老人も好きなスポーツだ。,保龄球是一项老年人也喜欢的运动。,,,[sound:JLPT_TangoN3_Word_0101.mp3],[sound:JLPT_TangoN3_Sentence_0101.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
102,幼児,ようじ,幼[よう] 児[じ],幼儿,toddler,名,この教室では、幼児が英語を勉強している。,幼儿正在这间教室里学习英语。,＋乳児 infant / 婴儿・ 児童 children / 儿童,,[sound:JLPT_TangoN3_Word_0102.mp3],[sound:JLPT_TangoN3_Sentence_0102.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
103,出身,しゅっしん,出[しゅっ] 身[しん],来自……,"one’s origin, one’s hometown",名,彼はタイのバンコク出身だ。,他来自泰国曼谷。,"＋出身地 hometown, place of origin / 出生地，籍贯所在地；
出身大学 alma mater / 毕业院校",,[sound:JLPT_TangoN3_Word_0103.mp3],[sound:JLPT_TangoN3_Sentence_0103.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
104,生まれ,うまれ,生[う]まれ,出生，出生地,place of birth,名,私は大阪生まれだ。,我在大阪出生。,＋生まれる to be born / 出生,,[sound:JLPT_TangoN3_Word_0104.mp3],[sound:JLPT_TangoN3_Sentence_0104.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
105,育ち,そだち,育[そだ]ち,成长，成长的地方,place where one was raised,名,私は大阪生まれ、東京育ちだ。,我在大阪出生，在东京长大。,"＋育つ to raise, to grow / 成长",,[sound:JLPT_TangoN3_Word_0105.mp3],[sound:JLPT_TangoN3_Sentence_0105.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
106,行儀,ぎょうぎ,行[ぎょう] 儀[ぎ],（从是否合乎礼法的角度看）言行举止,"etiquette, behavior",名,あの子は、とても行儀がいい。,那个小孩很有礼貌。,,,[sound:JLPT_TangoN3_Word_0106.mp3],[sound:JLPT_TangoN3_Sentence_0106.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
107,マナー,マナー,マナー,礼仪,manners,名,彼はタバコのマナーを知らない。,他不懂吸烟的礼仪。,＝礼儀,,[sound:JLPT_TangoN3_Word_0107.mp3],[sound:JLPT_TangoN3_Sentence_0107.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
108,個人,こじん,個[こ] 人[じん],个人,individual,名,個人のデータは、あまり教えないほうがいい。,最好不要把私人信息告诉别人。,"＋個人的な personal / 个人的；
個人情報 personal information / 个人信息",,[sound:JLPT_TangoN3_Word_0108.mp3],[sound:JLPT_TangoN3_Sentence_0108.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
109,アドレス,アドレス,アドレス,邮箱地址,mail address,名,アドレスは名刺に書いてある。,名片上有邮箱地址。,＝メールアドレス,表示居住等的地点时，一般用“住所”。,[sound:JLPT_TangoN3_Word_0109.mp3],[sound:JLPT_TangoN3_Sentence_0109.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
110,本人,ほんにん,本[ほん] 人[にん],本人,"person in question, said person",名,あなたが本人か、確認させてください。,请让我确认一下是不是您。,,,[sound:JLPT_TangoN3_Word_0110.mp3],[sound:JLPT_TangoN3_Sentence_0110.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
111,独身,どくしん,独[どく] 身[しん],单身,single,名,彼は独身だが、結婚したいと言っていた。,虽然他现在是单身，但他说过想结婚。,＋既婚 married / 已婚,,[sound:JLPT_TangoN3_Word_0111.mp3],[sound:JLPT_TangoN3_Sentence_0111.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
112,主婦,しゅふ,主[しゅ] 婦[ふ],主妇,housewife,名,姉は主婦だが、仕事もしている。,姐姐虽然是家庭主妇，但也有工作。,"＋專業主婦 stay-at-home wife, full-time housewife / 全职主妇",,[sound:JLPT_TangoN3_Word_0112.mp3],[sound:JLPT_TangoN3_Sentence_0112.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
113,フリーター,フリーター,フリーター,自由职业者,"freeter, part-time jobber",名,弟は大学を卒業してからずっとフリーターだ。,弟弟大学毕业之后一直是自由职业者。,,,[sound:JLPT_TangoN3_Word_0113.mp3],[sound:JLPT_TangoN3_Sentence_0113.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
114,無職,むしょく,無[む] 職[しょく],无职业,unemployed,名,今は無職だが、来月から働く。,我现在没有工作，下个月开始上班。,,,[sound:JLPT_TangoN3_Word_0114.mp3],[sound:JLPT_TangoN3_Sentence_0114.mp3],1,5,人と人との関係,どんな人？,万词对策N3::Chapter 1 人と人との関係::Section 5 どんな人？
115,本日,ほんじつ,本[ほん] 日[じつ],今天,"today, this day",名,本日はお忙しいところ、ありがとうございます。,感谢您今天百忙之中抽出时间。,＝今日,,[sound:JLPT_TangoN3_Word_0115.mp3],[sound:JLPT_TangoN3_Sentence_0115.mp3],2,1,毎日の暮らし①,時の表現,万词对策N3::Chapter 2 毎日の暮らし①::Section 1 時の表現
